n,p,m_total,m_count,m_mean,m_min,m_max,steps_total,steps_count,steps_mean,steps_min,steps_max,number_total,number_count,number_mean,number_min,number_max,isteps_total,isteps_count,isteps_mean,isteps_min,isteps_max,inumber_total,inumber_count,inumber_mean,inumber_min,inumber_max
20,10,22,1,22,22,22,204,1,204,204,204,3,1,3,3,3,222,1,222,222,222,3,1,3,3,3
20,10,21,1,21,21,21,206,1,206,206,206,3,1,3,3,3,260,1,260,260,260,3,1,3,3,3
20,10,18,1,18,18,18,201,1,201,201,201,3,1,3,3,3,226,1,226,226,226,3,1,3,3,3
20,10,21,1,21,21,21,206,1,206,206,206,3,1,3,3,3,246,1,246,246,246,3,1,3,3,3
20,10,21,1,21,21,21,206,1,206,206,206,3,1,3,3,3,260,1,260,260,260,3,1,3,3,3
20,10,13,1,13,13,13,198,1,198,198,198,3,1,3,3,3,215,1,215,215,215,3,1,3,3,3
20,10,19,1,19,19,19,201,1,201,201,201,2,1,2,2,2,201,1,201,201,201,2,1,2,2,2
20,10,16,1,16,16,16,199,1,199,199,199,2,1,2,2,2,199,1,199,199,199,2,1,2,2,2
20,10,18,1,18,18,18,203,1,203,203,203,3,1,3,3,3,218,1,218,218,218,3,1,3,3,3
20,10,14,1,14,14,14,199,1,199,199,199,3,1,3,3,3,222,1,222,222,222,3,1,3,3,3
20,10,15,1,15,15,15,199,1,199,199,199,2,1,2,2,2,199,1,199,199,199,2,1,2,2,2
20,10,24,1,24,24,24,202,1,202,202,202,3,1,3,3,3,267,1,267,267,267,3,1,3,3,3
20,10,14,1,14,14,14,202,1,202,202,202,3,1,3,3,3,237,1,237,237,237,3,1,3,3,3
20,10,22,1,22,22,22,205,1,205,205,205,3,1,3,3,3,205,1,205,205,205,3,1,3,3,3
20,10,15,1,15,15,15,200,1,200,200,200,3,1,3,3,3,200,1,200,200,200,3,1,3,3,3
20,10,16,1,16,16,16,202,1,202,202,202,2,1,2,2,2,202,1,202,202,202,2,1,2,2,2
20,10,16,1,16,16,16,201,1,201,201,201,3,1,3,3,3,201,1,201,201,201,3,1,3,3,3
20,10,18,1,18,18,18,204,1,204,204,204,3,1,3,3,3,204,1,204,204,204,3,1,3,3,3
20,10,15,1,15,15,15,200,1,200,200,200,2,1,2,2,2,200,1,200,200,200,2,1,2,2,2
20,10,25,1,25,25,25,203,1,203,203,203,3,1,3,3,3,216,1,216,216,216,3,1,3,3,3
20,10,15,1,15,15,15,200,1,200,200,200,3,1,3,3,3,230,1,230,230,230,2,1,2,2,2
20,10,21,1,21,21,21,202,1,202,202,202,3,1,3,3,3,231,1,231,231,231,3,1,3,3,3
