n,p,time_total,time_count,time_mean,time_min,time_max,steps_total,steps_count,steps_mean,steps_min,steps_max,number_total,number_count,number_mean,number_min,number_max
24,20,0.000183564,1,0.000183564,0.000183564,0.000183564,360,1,360,360,360,4,1,4,4,4
24,20,7.3092e-05,1,7.3092e-05,7.3092e-05,7.3092e-05,318,1,318,318,318,4,1,4,4,4
24,20,6.6319e-05,1,6.6319e-05,6.6319e-05,6.6319e-05,322,1,322,322,322,3,1,3,3,3
24,20,0.000104486,1,0.000104486,0.000104486,0.000104486,348,1,348,348,348,4,1,4,4,4
24,20,0.000155827,1,0.000155827,0.000155827,0.000155827,354,1,354,354,354,4,1,4,4,4
24,20,0.000101276,1,0.000101276,0.000101276,0.000101276,342,1,342,342,342,4,1,4,4,4
24,20,6.1699e-05,1,6.1699e-05,6.1699e-05,6.1699e-05,314,1,314,314,314,3,1,3,3,3
24,20,0.000175071,1,0.000175071,0.000175071,0.000175071,375,1,375,375,375,5,1,5,5,5
24,20,0.000129603,1,0.000129603,0.000129603,0.000129603,353,1,353,353,353,4,1,4,4,4
24,20,0.000180096,1,0.000180096,0.000180096,0.000180096,378,1,378,378,378,5,1,5,5,5
24,20,9.9941e-05,1,9.9941e-05,9.9941e-05,9.9941e-05,349,1,349,349,349,4,1,4,4,4
24,20,9.3619e-05,1,9.3619e-05,9.3619e-05,9.3619e-05,325,1,325,325,325,4,1,4,4,4
24,20,7.3562e-05,1,7.3562e-05,7.3562e-05,7.3562e-05,321,1,321,321,321,4,1,4,4,4
24,20,0.000151176,1,0.000151176,0.000151176,0.000151176,361,1,361,361,361,4,1,4,4,4
24,20,0.000101641,1,0.000101641,0.000101641,0.000101641,346,1,346,346,346,3,1,3,3,3
24,20,9.8619e-05,1,9.8619e-05,9.8619e-05,9.8619e-05,345,1,345,345,345,4,1,4,4,4
24,20,5.8071e-05,1,5.8071e-05,5.8071e-05,5.8071e-05,313,1,313,313,313,3,1,3,3,3
24,20,0.000113423,1,0.000113423,0.000113423,0.000113423,328,1,328,328,328,4,1,4,4,4
24,20,0.000202566,1,0.000202566,0.000202566,0.000202566,370,1,370,370,370,4,1,4,4,4
24,20,0.000113507,1,0.000113507,0.000113507,0.000113507,340,1,340,340,340,4,1,4,4,4
